Tickers,Company,MCap,Price,24h Change %,Price Range
MAS,Masco Corporation,1594.0,73.88,-0.69,50-100
NWSA,News Corporation,1594.0,28.05,0.68,<50
DLTR,"Dollar Tree, Inc.",1585.0,73.73,1.08,50-100
KIM,Kimco Realty Corporation,1582.0,23.43,0.04,<50
ALGN,"Align Technology, Inc.",1550.0,207.57,-1.65,200-500
EXPD,"Expeditors International of Washington, Inc.",1547.0,110.5,-0.88,100-200
EG,"Everest Group, Ltd.",1544.0,359.35,0.76,200-500
MRNA,"Moderna, Inc.",1523.0,39.59,0.51,<50
LNT,Alliant Energy Corporation,1521.0,59.26,0.53,50-100
AVY,Avery Dennison Corporation,1515.0,188.58,0.24,100-200
TPR,"Tapestry, Inc.",1508.0,64.73,0.9,50-100
FFIV,"F5, Inc.",1491.0,254.41,0.86,200-500
VTRS,Viatris Inc.,1491.0,12.49,-0.24,<50
BAX,Baxter International Inc.,1490.0,29.18,-1.08,<50
CF,"CF Industries Holdings, Inc.",1477.0,84.85,-0.15,50-100
DPZ,"Domino's Pizza, Inc.",1473.0,426.54,0.08,200-500
AKAM,"Akamai Technologies, Inc.",1451.0,96.6,0.74,50-100
SWKS,"Skyworks Solutions, Inc.",1442.0,90.19,1.62,50-100
DOC,"Healthpeak Properties, Inc.",1440.0,20.18,0.3,<50
RL,Ralph Lauren Corporation,1431.0,230.41,0.06,200-500
TXT,Textron Inc.,1418.0,76.44,-0.53,50-100
EVRG,"Evergy, Inc.",1410.0,61.32,-0.18,50-100
APTV,Aptiv PLC,1398.0,59.47,1.04,50-100
EPAM,"EPAM Systems, Inc.",1383.0,243.8,-1.8,200-500
RVTY,"Revvity, Inc.",1366.0,112.27,-0.26,100-200
AMCR,Amcor plc,1358.0,9.43,0.32,<50
INCY,Incyte Corporation,1345.0,69.84,1.45,50-100
REG,Regency Centers Corporation,1343.0,73.75,-0.07,50-100
BXP,"BXP, Inc.",1334.0,75.61,1.3,50-100
POOL,Pool Corporation,1324.0,347.84,-0.34,200-500
CAG,"Conagra Brands, Inc.",1314.0,27.53,1.55,<50
KMX,"CarMax, Inc.",1288.0,83.7,-0.68,50-100
JKHY,"Jack Henry & Associates, Inc.",1281.0,175.64,-0.62,100-200
HST,"Host Hotels & Resorts, Inc.",1263.0,18.07,-0.71,<50
DVA,DaVita Inc.,1255.0,153.02,0.77,100-200
SWK,"Stanley Black & Decker, Inc.",1254.0,81.35,-0.79,50-100
CPT,Camden Property Trust,1248.0,115.25,0.3,100-200
JNPR,"Juniper Networks, Inc.",1241.0,37.48,0.64,<50
CPB,The Campbell's Company,1235.0,41.42,-0.19,<50
CHRW,"C.H. Robinson Worldwide, Inc.",1229.0,104.01,-0.32,100-200
TAP,Molson Coors Beverage Company,1207.0,58.57,-1.3,50-100
NDSN,Nordson Corporation,1193.0,209.31,-0.2,200-500
UHS,"Universal Health Services, Inc.",1192.0,180.72,0.34,100-200
SJM,The J. M. Smucker Company,1183.0,111.2,1.19,100-200
DAY,Dayforce Inc.,1167.0,73.99,-1.14,50-100
PAYC,"Paycom Software, Inc.",1156.0,206.91,-0.15,200-500
TECH,Bio-Techne Corporation,1156.0,72.74,-0.59,50-100
SOLV,Solventum Corporation,1151.0,66.63,-0.3,50-100
NCLH,Norwegian Cruise Line Holdings Ltd.,1149.0,26.13,-2.9,<50
ALLE,Allegion plc,1149.0,132.13,-0.04,100-200
BG,Bunge Global SA,1104.0,79.05,-0.06,50-100
AIZ,"Assurant, Inc.",1084.0,211.4,-0.41,200-500
BEN,"Franklin Resources, Inc.",1071.0,20.46,-0.15,<50
IPG,"The Interpublic Group of Companies, Inc.",1062.0,28.5,-1.96,<50
EMN,Eastman Chemical Company,1057.0,91.21,-0.6,50-100
ALB,Albemarle Corporation,1048.0,89.2,0.62,50-100
MGM,MGM Resorts International,1021.0,34.29,0.38,<50
AOS,A. O. Smith Corporation,994.0,68.56,-0.23,50-100
ENPH,"Enphase Energy, Inc.",986.0,73.0,2.17,50-100
PNW,Pinnacle West Capital Corporation,966.0,85.0,0.05,50-100
FRT,Federal Realty Investment Trust,960.0,112.13,0.19,100-200
WYNN,"Wynn Resorts, Limited",959.0,88.11,-0.94,50-100
LKQ,LKQ Corporation,958.0,36.87,-0.03,<50
CRL,"Charles River Laboratories International, Inc.",948.0,185.39,-0.2,100-200
AES,The AES Corporation,929.0,13.06,0.46,<50
GL,Globe Life Inc.,920.0,109.58,0.17,100-200
GNRC,Generac Holdings Inc.,918.0,154.28,-1.27,100-200
LW,"Lamb Weston Holdings, Inc.",911.0,63.9,2.92,50-100
HSIC,"Henry Schein, Inc.",874.0,70.06,0.34,50-100
MKTX,MarketAxess Holdings Inc.,865.0,229.46,-0.3,200-500
TFX,Teleflex Incorporated,828.0,178.25,0.05,100-200
MTCH,"Match Group, Inc.",825.0,32.86,-2.67,<50
WBA,"Walgreens Boots Alliance, Inc.",804.0,9.3,-2.62,<50
APA,APA Corporation,799.0,21.6,2.66,<50
HAS,"Hasbro, Inc.",792.0,56.78,-1.39,50-100
IVZ,Invesco Ltd.,786.0,17.48,0.87,<50
MOS,The Mosaic Company,771.0,24.28,0.87,<50
CE,Celanese Corporation,756.0,69.2,1.39,50-100
MHK,"Mohawk Industries, Inc.",755.0,119.54,0.32,100-200
HII,"Huntington Ingalls Industries, Inc.",745.0,190.41,-0.02,100-200
BWA,BorgWarner Inc.,700.0,32.0,0.38,<50
CZR,"Caesars Entertainment, Inc.",699.0,32.89,0.21,<50
PARA,Paramount Global,690.0,10.35,-2.91,<50
QRVO,"Qorvo, Inc.",676.0,71.54,0.97,50-100
FMC,FMC Corporation,621.0,49.74,-0.82,<50
AMTM,"Amentum Holdings, Inc.",486.0,19.97,4.17,<50
