Tickers,Company,MCap,Price,24h Change %,Price Range
BKNG,Booking Holdings Inc.,16757.0,,0.29,
DHR,Danaher Corporation,16552.0,229.16,0.27,200-500
T,AT&T Inc.,16388.0,22.84,0.4,<50
BLK,"BlackRock, Inc.",16103.0,,1.07,
RTX,RTX Corporation,15524.0,116.63,0.13,100-200
SPGI,S&P Global Inc.,15444.0,498.25,1.31,200-500
PFE,Pfizer Inc.,15137.0,26.71,1.33,<50
NEE,"NextEra Energy, Inc.",14907.0,72.49,1.14,50-100
HON,Honeywell International Inc.,14770.0,227.14,-0.52,200-500
CMCSA,Comcast Corporation,14533.0,37.98,-0.63,<50
ANET,Arista Networks Inc,14247.0,113.09,0.25,100-200
AMGN,Amgen Inc.,14191.0,264.0,0.24,200-500
PGR,The Progressive Corporation,14119.0,241.01,0.43,200-500
SYK,Stryker Corporation,13971.0,366.49,0.52,200-500
LOW,"Lowe's Companies, Inc.",13968.0,247.37,-0.14,200-500
UNP,Union Pacific Corporation,13770.0,227.13,0.36,200-500
TJX,"The TJX Companies, Inc.",13689.0,121.77,-0.19,100-200
SCHW,The Charles Schwab Corporation,13676.0,74.71,0.54,50-100
AMAT,"Applied Materials, Inc.",13626.0,167.46,2.37,100-200
ETN,Eaton Corporation plc,13346.0,337.71,-0.12,200-500
BA,The Boeing Company,13276.0,177.69,0.19,100-200
BSX,Boston Scientific Corporation,13244.0,89.86,1.02,50-100
KKR,KKR & Co. Inc.,13229.0,148.94,0.92,100-200
C,Citigroup Inc.,13195.0,69.77,0.84,50-100
UBER,"Uber Technologies, Inc.",13028.0,61.87,1.88,50-100
COP,ConocoPhillips,12467.0,96.38,1.32,50-100
PANW,"Palo Alto Networks, Inc.",12351.0,188.22,0.77,100-200
ADP,"Automatic Data Processing, Inc.",11985.0,294.15,0.04,200-500
FI,"Fiserv, Inc.",11760.0,206.71,0.32,200-500
DE,Deere & Company,11742.0,432.38,-0.03,200-500
BMY,Bristol-Myers Squibb Company,11678.0,57.58,0.44,50-100
GILD,"Gilead Sciences, Inc.",11640.0,93.4,0.9,50-100
LMT,Lockheed Martin Corporation,11532.0,486.49,-0.52,200-500
NKE,"NIKE, Inc.",11426.0,76.76,-0.23,50-100
CB,Chubb Limited,11101.0,275.38,0.8,200-500
UPS,"United Parcel Service, Inc.",10731.0,125.75,0.06,100-200
ADI,"Analog Devices, Inc.",10665.0,214.89,1.47,200-500
MDT,Medtronic plc,10438.0,81.4,0.46,50-100
VRTX,Vertex Pharmaceuticals Incorporated,10437.0,405.27,2.01,200-500
MMC,"Marsh & McLennan Companies, Inc.",10420.0,212.17,0.2,200-500
MU,"Micron Technology, Inc.",9996.0,89.72,-0.44,50-100
SBUX,Starbucks Corporation,9914.0,87.44,-0.6,50-100
PLD,"Prologis, Inc.",9810.0,104.14,0.79,100-200
GEV,GE Vernova Inc.,9508.0,344.92,0.66,200-500
